Text,Latitude,Longitude,Altitude,Type
"Budapest, Hungary",47.4925,19.051389,0,city
"Helsinki, Finland",60.170833,24.9375,0,city
"Ghent, Belgium",51.053611,3.725278,0,city
"Prague, Czechoslovak Socialist Republic",50.0875,14.421389,0,city
"Bratislava, Czechoslovak Socialist Republic",48.143889,17.109722,0,city
"Brno, Czechoslovak Socialist Republic",49.1925,16.608333,0,city
"Bucharest, Socialist Republic of Romania",44.4325,26.103889,0,city
"Luxembourg, Luxembourg",49.814444,6.131667,0,city
"Warsaw, Poland",52.23,21.011111,0,city
"Denver, CO, USA",39.76185,-104.881105,0,city
"Stanford, CA, USA",37.4225,-122.165278,0,city
"San Jose, CA, USA",37.333333,-121.9,0,city
"Saratoga Springs, NY, USA",43.083056,-73.784444,0,city
"Bloomington, IN, USA",39.162222,-86.529167,0,city
"Rochester, NY, USA",43.165556,-77.611389,0,city
"Ann Arbor, MI, USA",42.281389,-83.748333,0,city
"Nashville, TN, USA",36.162222,-86.774444,0,city
"Mexico City, Mexico",19.433333,-99.133333,0,city
"Bogotá, Colombia",4.711111,-74.072222,0,city
"Santiago, Chile",-33.45,-70.666667,0,city
"Buenos Aires, Argentina",-34.603333,-58.381667,0,city
"Rio de Janeiro, Brazil",-22.908333,-43.196389,0,city
"Hoffman Estates, IL, USA",42.063056,-88.119167,0,city
"San Antonio, TX, USA",29.425,-98.493889,0,city
"Portland, OR, USA",45.52,-122.681944,0,city
"Urbana, IL, USA",40.109665,-88.204247,0,city
"Wilmington, DE, USA",39.745833,-75.546667,0,city
"Hershey, PA, USA",40.278333,-76.651111,0,city
"Palermo, Italy",38.111111,13.351667,0,city
"Nervi, Italy",44.383333,9.033333,0,city
"Tallahassee, FL, USA",30.455,-84.253333,0,city
"Columbia, SC, USA",34.000556,-81.034722,0,city
"Reggio Emilia, Italy",44.7,10.633333,0,city
"Modena, Italy",44.646944,10.925556,0,city
"Lyon, France",45.76,4.84,0,city
"Carcassonne, France",43.21,2.35,0,city
"Carpentras, France",44.0558,5.0489,0,city
"Heraklion, Greece",35.340278,25.134444,0,city
"Miami, FL, USA",25.775278,-80.208889,0,city
"Pasadena, CA, USA",34.156111,-118.131944,0,city
"Omaha, NE, USA",41.258611,-95.9375,0,city
"Kobe, Japan",34.69,135.195556,0,city
"Kyoto, Japan",35.011667,135.768333,0,city
"Purchase, NY, USA",41.040556,-73.714444,0,city
"Lewiston, NY, USA",43.166667,-78.966667,0,city
"Gothenburg, Sweden",57.7075,11.9675,0,city
"Stockholm, Sweden",59.329444,18.068611,0,city
"Odense, Denmark",55.395833,10.388611,0,city
"Aarhus, Denmark",56.1572,10.2107,0,city
"West Palm Beach, FL, USA",26.709722,-80.064167,0,city
"Columbia, MO, USA",38.952,-92.329,0,city
"Greenvale, NY, USA",40.813056,-73.625556,0,city
"Ottawa, Ontario, Canada",45.424722,-75.695,0,city
"Austin, TX, USA",30.267222,-97.743056,0,city
"Tempe, AZ, USA",33.412778,-111.943056,0,city
"Louisville, KY, USA",38.256111,-85.751389,0,city
"Ames, IA, USA",42.034722,-93.62,0,city
"Vienna, VA, USA",38.9,-77.266667,0,city
"Sydney, Australia",-33.865,151.209444,0,city
"Melbourne, Australia",-37.813611,144.963056,0,city
"Brisbane, Australia",-27.467778,153.028056,0,city
"Perth, Australia",-31.9559,115.8606,0,city
"Adelaide, Australia",-34.9275,138.6,0,city
"Beijing, China",39.906667,116.3975,0,city
"Nanchang, China",28.683,115.858,0,city
"Shanghai, China",31.228611,121.474722,0,city
"Lincoln, NE, USA",40.808889,-96.678889,0,city
"Lawrence, KS, USA",38.971669,-95.23525,0,city
"Tulsa, OK, USA",36.131389,-95.937222,0,city
"Richmond, VA, USA",37.540833,-77.436667,0,city
"Davie, FL, USA",26.081389,-80.280278,0,city
"East Lansing, MI, USA",42.734722,-84.480556,0,city
"Fort Worth, TX, USA",32.75,-97.333333,0,city
"Madison, WI, USA",43.074722,-89.384167,0,city
"Honolulu, HI, USA",21.3,-157.816667,0,city
"Tokyo, Japan",35.689722,139.692222,0,city
"Nagoya, Japan",35.183333,136.9,0,city
"Fukuoka, Japan",33.583333,130.4,0,city
"Hiroshima, Japan",34.391389,132.451944,0,city
"Osaka, Japan",34.693889,135.502222,0,city
"Yokohama, Japan",35.444167,139.638056,0,city
"Mito, Japan",36.365833,140.47125,0,city
"Matsudo, Japan",35.787639,139.903167,0,city
"Numazu, Japan",35.095583,138.863444,0,city
Hong Kong,22.3,114.2,0,city
"Athens, Greece",37.983972,23.727806,0,city
"Oslo, Norway",59.913333,10.738889,0,city
"Toulouse, France",43.6045,1.444,0,city
"Clermont-Ferrand, France",45.7831,3.0824,0,city
"Lille, France",50.6278,3.0583,0,city
"Bordeaux, France",44.84,-0.58,0,city
"Cleveland, OH, USA",41.482222,-81.669722,0,city
"Buffalo, NY, USA",42.904722,-78.849444,0,city
"Iowa City, IA, USA",41.66,-91.53,0,city
"Salt Lake City, UT, USA",40.760833,-111.891111,0,city
"Vancouver, British Columbia, Canada",49.25,-123.1,0,city
"Amherst, MA, USA",42.383333,-72.516667,0,city
"Stamford, CT, USA",41.052778,-73.538889,0,city
"Montreal, Quebec, Canada",45.508889,-73.554167,0,city
"Dallas, TX, USA",32.779167,-96.808889,0,city
"Binghamton, NY, USA",42.102222,-75.911667,0,city
"Jerusalem, Israel",31.778889,35.225556,0,city
"Tel Aviv, Israel",32.08,34.78,0,city
"Caesarea, Israel",32.502778,34.905556,0,city
"Brussels, Belgium",50.85,4.35,0,city
"Milan, Italy",45.466667,9.183333,0,city
"Bern, Switzerland",46.948056,7.4475,0,city
"Zürich, Switzerland",47.374444,8.541111,0,city
"Geneva, Switzerland",46.2,6.15,0,city
"Lausanne, Switzerland",46.519833,6.6335,0,city
"Madrid, Spain",40.416667,-3.7025,0,city
"Neuss, West Germany",51.2,6.7,0,city
"Cologne, Germany",50.936389,6.952778,0,city
"Ludwigshafen, West Germany",49.481111,8.435278,0,city
"Leverkusen, West Germany",51.033333,6.983333,0,city
"Vienna, Austria",48.2,16.366667,0,city
"Graz, Austria",47.070833,15.438611,0,city
